DataTypeId;FrequencyId;PresentationTypeId;Date;Value
1;3;3;01.01.2024;103.7
1;3;3;01.02.2024;102.8
1;3;3;01.03.2024;102
1;3;3;01.04.2024;102.4
1;3;3;01.05.2024;102.5
1;3;3;01.06.2024;102.6
1;3;3;01.07.2024;104.2
1;3;3;01.08.2024;104.3
1;3;3;01.09.2024;104.9
1;3;3;01.10.2024;105
1;3;3;01.11.2024;104.7
1;3;3;01.12.2024;104.7
1;3;3;01.01.2023;116.6
1;3;3;01.02.2023;118.4
1;3;3;01.03.2023;116.1
1;3;3;01.04.2023;114.7
1;3;3;01.05.2023;113
1;3;3;01.06.2023;111.5
1;3;3;01.07.2023;110.8
1;3;3;01.08.2023;110.1
1;3;3;01.09.2023;108.2
1;3;3;01.10.2023;106.6
1;3;3;01.11.2023;106.6
1;3;3;01.12.2023;106.2
1;3;3;01.01.2022;109.4
1;3;3;01.02.2022;108.5
1;3;3;01.03.2022;111
1;3;3;01.04.2022;112.4
1;3;3;01.05.2022;113.9
1;3;3;01.06.2022;115.5
1;3;3;01.07.2022;115.6
1;3;3;01.08.2022;116.1
1;3;3;01.09.2022;117.2
1;3;3;01.10.2022;117.9
1;3;3;01.11.2022;117.5
1;3;3;01.12.2022;116.6
1;3;3;01.01.2021;102.6
1;3;3;01.02.2021;102.4
1;3;3;01.03.2021;103.2
1;3;3;01.04.2021;104.3
1;3;3;01.05.2021;104.7
1;3;3;01.06.2021;104.4
1;3;3;01.07.2021;105
1;3;3;01.08.2021;105.5
1;3;3;01.09.2021;105.9
1;3;3;01.10.2021;106.8
1;3;3;01.11.2021;107.8
1;3;3;01.12.2021;108.6
1;3;3;01.01.2020;104.3
1;3;3;01.02.2020;104.7
1;3;3;01.03.2020;104.6
1;3;3;01.04.2020;103.4
1;3;3;01.05.2020;102.9
1;3;3;01.06.2020;103.3
1;3;3;01.07.2020;103
1;3;3;01.08.2020;102.9
1;3;3;01.09.2020;103.2
1;3;3;01.10.2020;103.1
1;3;3;01.11.2020;103
1;3;3;01.12.2020;102.4
1;3;3;01.01.2019;100.7
1;3;3;01.02.2019;101.2
1;3;3;01.03.2019;101.7
1;3;3;01.04.2019;102.2
1;3;3;01.05.2019;102.4
1;3;3;01.06.2019;102.6
1;3;3;01.07.2019;102.9
1;3;3;01.08.2019;102.9
1;3;3;01.09.2019;102.6
1;3;3;01.10.2019;102.5
1;3;3;01.11.2019;102.6
1;3;3;01.12.2019;103.4
1;3;3;01.01.2018;101.9
1;3;3;01.02.2018;101.4
1;3;3;01.03.2018;101.3
1;3;3;01.04.2018;101.6
1;3;3;01.05.2018;101.7
1;3;3;01.06.2018;102
1;3;3;01.07.2018;102
1;3;3;01.08.2018;102
1;3;3;01.09.2018;101.9
1;3;3;01.10.2018;101.8
1;3;3;01.11.2018;101.3
1;3;3;01.12.2018;101.1
1;3;3;01.01.2017;101.7
1;3;3;01.02.2017;102.2
1;3;3;01.03.2017;102
1;3;3;01.04.2017;102
1;3;3;01.05.2017;101.9
1;3;3;01.06.2017;101.5
1;3;3;01.07.2017;101.7
1;3;3;01.08.2017;101.8
1;3;3;01.09.2017;102.2
1;3;3;01.10.2017;102.1
1;3;3;01.11.2017;102.5
1;3;3;01.12.2017;102.1
1;3;3;01.01.2016;99.1
1;3;3;01.02.2016;99.2
1;3;3;01.03.2016;99.1
1;3;3;01.04.2016;98.9
1;3;3;01.05.2016;99.1
1;3;3;01.06.2016;99.2
1;3;3;01.07.2016;99.1
1;3;3;01.08.2016;99.2
1;3;3;01.09.2016;99.5
1;3;3;01.10.2016;99.8
1;3;3;01.11.2016;100
1;3;3;01.12.2016;100.8
1;3;3;01.01.2015;98.6
1;3;3;01.02.2015;98.4
1;3;3;01.03.2015;98.5
1;3;3;01.04.2015;98.9
1;3;3;01.05.2015;99.1
1;3;3;01.06.2015;99.2
1;3;3;01.07.2015;99.3
1;3;3;01.08.2015;99.4
1;3;3;01.09.2015;99.2
1;3;3;01.10.2015;99.3
1;3;3;01.11.2015;99.4
1;3;3;01.12.2015;99.5
1;3;3;01.01.2014;100.5
1;3;3;01.02.2014;100.7
1;3;3;01.03.2014;100.7
1;3;3;01.04.2014;100.3
1;3;3;01.05.2014;100.2
1;3;3;01.06.2014;100.3
1;3;3;01.07.2014;99.8
1;3;3;01.08.2014;99.7
1;3;3;01.09.2014;99.7
1;3;3;01.10.2014;99.4
1;3;3;01.11.2014;99.4
1;3;3;01.12.2014;99
1;3;3;01.01.2013;101.7
1;3;3;01.02.2013;101.3
1;3;3;01.03.2013;101
1;3;3;01.04.2013;100.8
1;3;3;01.05.2013;100.5
1;3;3;01.06.2013;100.2
1;3;3;01.07.2013;101.1
1;3;3;01.08.2013;101.1
1;3;3;01.09.2013;101
1;3;3;01.10.2013;100.8
1;3;3;01.11.2013;100.6
1;3;3;01.12.2013;100.7
1;3;3;01.01.2012;104.1
1;3;3;01.02.2012;104.3
1;3;3;01.03.2012;103.9
1;3;3;01.04.2012;104
1;3;3;01.05.2012;103.6
1;3;3;01.06.2012;104.3
1;3;3;01.07.2012;104
1;3;3;01.08.2012;103.8
1;3;3;01.09.2012;103.8
1;3;3;01.10.2012;103.4
1;3;3;01.11.2012;102.8
1;3;3;01.12.2012;102.4
1;3;3;01.01.2011;103.6
1;3;3;01.02.2011;103.6
1;3;3;01.03.2011;104.3
1;3;3;01.04.2011;104.5
1;3;3;01.05.2011;105
1;3;3;01.06.2011;104.2
1;3;3;01.07.2011;104.1
1;3;3;01.08.2011;104.3
1;3;3;01.09.2011;103.9
1;3;3;01.10.2011;104.3
1;3;3;01.11.2011;104.8
1;3;3;01.12.2011;104.6
1;3;3;01.01.2010;103.5
1;3;3;01.02.2010;102.9
1;3;3;01.03.2010;102.6
1;3;3;01.04.2010;102.4
1;3;3;01.05.2010;102.2
1;3;3;01.06.2010;102.3
1;3;3;01.07.2010;102
1;3;3;01.08.2010;102
1;3;3;01.09.2010;102.5
1;3;3;01.10.2010;102.8
1;3;3;01.11.2010;102.7
1;3;3;01.12.2010;103.1
1;3;3;01.01.2009;102.8
1;3;3;01.02.2009;103.3
1;3;3;01.03.2009;103.6
1;3;3;01.04.2009;104
1;3;3;01.05.2009;103.6
1;3;3;01.06.2009;103.5
1;3;3;01.07.2009;103.6
1;3;3;01.08.2009;103.7
1;3;3;01.09.2009;103.4
1;3;3;01.10.2009;103.1
1;3;3;01.11.2009;103.3
1;3;3;01.12.2009;103.5
1;3;3;01.01.2008;104
1;3;3;01.02.2008;104.2
1;3;3;01.03.2008;104.1
1;3;3;01.04.2008;104
1;3;3;01.05.2008;104.4
1;3;3;01.06.2008;104.6
1;3;3;01.07.2008;104.8
1;3;3;01.08.2008;104.8
1;3;3;01.09.2008;104.5
1;3;3;01.10.2008;104.2
1;3;3;01.11.2008;103.7
1;3;3;01.12.2008;103.3
1;3;3;01.01.2007;101.6
1;3;3;01.02.2007;101.9
1;3;3;01.03.2007;102.5
1;3;3;01.04.2007;102.3
1;3;3;01.05.2007;102.3
1;3;3;01.06.2007;102.6
1;3;3;01.07.2007;102.3
1;3;3;01.08.2007;101.5
1;3;3;01.09.2007;102.3
1;3;3;01.10.2007;103
1;3;3;01.11.2007;103.6
1;3;3;01.12.2007;104
1;3;3;01.01.2006;100.6
1;3;3;01.02.2006;100.7
1;3;3;01.03.2006;100.4
1;3;3;01.04.2006;100.7
1;3;3;01.05.2006;100.9
1;3;3;01.06.2006;100.8
1;3;3;01.07.2006;101.1
1;3;3;01.08.2006;101.6
1;3;3;01.09.2006;101.6
1;3;3;01.10.2006;101.2
1;3;3;01.11.2006;101.4
1;3;3;01.12.2006;101.4
1;3;3;01.01.2005;103.7
1;3;3;01.02.2005;103.6
1;3;3;01.03.2005;103.4
1;3;3;01.04.2005;103
1;3;3;01.05.2005;102.5
1;3;3;01.06.2005;101.4
1;3;3;01.07.2005;101.3
1;3;3;01.08.2005;101.6
1;3;3;01.09.2005;101.8
1;3;3;01.10.2005;101.6
1;3;3;01.11.2005;101
1;3;3;01.12.2005;100.7
1;3;3;01.01.2004;101.6
1;3;3;01.02.2004;101.6
1;3;3;01.03.2004;101.7
1;3;3;01.04.2004;102.2
1;3;3;01.05.2004;103.4
1;3;3;01.06.2004;104.4
1;3;3;01.07.2004;104.6
1;3;3;01.08.2004;104.6
1;3;3;01.09.2004;104.4
1;3;3;01.10.2004;104.5
1;3;3;01.11.2004;104.5
1;3;3;01.12.2004;104.4
1;3;3;01.01.2003;100.5
1;3;3;01.02.2003;100.5
1;3;3;01.03.2003;100.6
1;3;3;01.04.2003;100.3
1;3;3;01.05.2003;100.4
1;3;3;01.06.2003;100.8
1;3;3;01.07.2003;100.8
1;3;3;01.08.2003;100.7
1;3;3;01.09.2003;100.9
1;3;3;01.10.2003;101.3
1;3;3;01.11.2003;101.6
1;3;3;01.12.2003;101.7
1;3;3;01.01.2002;103.4
1;3;3;01.02.2002;103.5
1;3;3;01.03.2002;103.3
1;3;3;01.04.2002;103
1;3;3;01.05.2002;101.9
1;3;3;01.06.2002;101.6
1;3;3;01.07.2002;101.3
1;3;3;01.08.2002;101.2
1;3;3;01.09.2002;101.3
1;3;3;01.10.2002;101.1
1;3;3;01.11.2002;100.9
1;3;3;01.12.2002;100.8
1;3;3;01.01.2001;107.4
1;3;3;01.02.2001;106.6
1;3;3;01.03.2001;106.2
1;3;3;01.04.2001;106.6
1;3;3;01.05.2001;106.9
1;3;3;01.06.2001;106.2
1;3;3;01.07.2001;105.2
1;3;3;01.08.2001;105.1
1;3;3;01.09.2001;104.3
1;3;3;01.10.2001;104
