DataTypeId;FrequencyId;PresentationTypeId;Date;Value
2;2;1;1995-01-01;79099.8
2;2;1;1995-04-01;84499.1
2;2;1;1995-07-01;88877.1
2;2;1;1995-10-01;93905.2
2;2;1;1996-01-01;97588.2
2;2;1;1996-04-01;105044.6
2;2;1;1996-07-01;109278.9
2;2;1;1996-10-01;121656.5
2;2;1;1997-01-01;117780.3
2;2;1;1997-04-01;127409.7
2;2;1;1997-07-01;131826.0
2;2;1;1997-10-01;147323.2
2;2;1;1998-01-01;137422.3
2;2;1;1998-04-01;147105.9
2;2;1;1998-07-01;152964.4
2;2;1;1998-10-01;171683.1
2;2;1;1999-01-01;147665.2
2;2;1;1999-04-01;160603.2
2;2;1;1999-07-01;169552.5
2;2;1;1999-10-01;199382.5
2;2;1;2000-01-01;168831.16
2;2;1;2000-04-01;181792.5
2;2;1;2000-07-01;187706.11
2;2;1;2000-10-01;213338.8
2;2;1;2001-01-01;180327.13
2;2;1;2001-04-01;192038.38
2;2;1;2001-07-01;195156.01
2;2;1;2001-10-01;217783.65769
2;2;1;2002-01-01;190435.6
2;2;1;2002-04-01;198967.9
2;2;1;2002-07-01;201670.4
2;2;1;2002-10-01;223685.7
2;2;1;2003-01-01;195413.2
2;2;1;2003-04-01;208269.1
2;2;1;2003-07-01;209542.5
2;2;1;2003-10-01;236776.6
2;2;1;2004-01-01;215035.5
2;2;1;2004-04-01;226993.0
2;2;1;2004-07-01;230024.7
2;2;1;2004-10-01;265286.1
2;2;1;2005-01-01;230429.8
2;2;1;2005-04-01;243179.6
2;2;1;2005-07-01;245229.8
2;2;1;2005-10-01;274453.9
2;2;1;2006-01-01;245340.6
2;2;1;2006-04-01;257424.9
2;2;1;2006-07-01;265359.3
2;2;1;2006-10-01;305250.0
2;2;1;2007-01-01;273118.8
2;2;1;2007-04-01;285925.0
2;2;1;2007-07-01;290811.5
2;2;1;2007-10-01;339574.3
2;2;1;2008-01-01;303032.6
2;2;1;2008-04-01;312082.1
2;2;1;2008-07-01;315016.9
2;2;1;2008-10-01;360287.7
2;2;1;2009-01-01;321713.0
2;2;1;2009-04-01;331330.4
2;2;1;2009-07-01;337888.9
2;2;1;2009-10-01;384711.7
2;2;1;2010-01-01;330053.2
2;2;1;2010-04-01;349427.2
2;2;1;2010-07-01;356417.9
2;2;1;2010-10-01;405751.3
2;2;1;2011-01-01;357647.3
2;2;1;2011-04-01;377007.5
2;2;1;2011-07-01;386044.4
2;2;1;2011-10-01;443236.2
2;2;1;2012-01-01;377386.8
2;2;1;2012-04-01;397144.9
2;2;1;2012-07-01;400617.8
2;2;1;2012-10-01;447092.5
2;2;1;2013-01-01;376844.6
2;2;1;2013-04-01;397942.7
2;2;1;2013-07-01;402455.9
2;2;1;2013-10-01;460524.3
2;2;1;2014-01-01;397098.5
2;2;1;2014-04-01;415789.6
2;2;1;2014-07-01;423401.0
2;2;1;2014-10-01;473895.9
2;2;1;2015-01-01;415171.4
2;2;1;2015-04-01;436359.4
2;2;1;2015-07-01;443918.4
2;2;1;2015-10-01;514115.0
2;2;1;2016-01-01;431632.9
2;2;1;2016-04-01;451754.4
2;2;1;2016-07-01;456763.6
2;2;1;2016-10-01;525809.3
2;2;1;2017-01-01;462531.2
2;2;1;2017-04-01;481990.3
2;2;1;2017-07-01;492949.6
2;2;1;2017-10-01;559364.9
2;2;1;2018-01-01;494713.5
2;2;1;2018-04-01;515827.6
2;2;1;2018-07-01;532893.5
2;2;1;2018-10-01;604152.0
2;2;1;2019-01-01;532999.0
2;2;1;2019-04-01;560326.2
2;2;1;2019-07-01;574915.3
2;2;1;2019-10-01;645688.3
2;2;1;2020-01-01;565282.0
2;2;1;2020-04-01;535513.5
2;2;1;2020-07-01;595475.8
2;2;1;2020-10-01;666637.2
2;2;1;2021-01-01;602673.3
2;2;1;2021-04-01;628284.0
2;2;1;2021-07-01;674189.2
2;2;1;2021-10-01;756371.3
2;2;1;2022-01-01;695634.9
2;2;1;2022-04-01;732204.1
2;2;1;2022-07-01;790197.0
2;2;1;2022-10-01;882813.9
2;2;1;2023-01-01;796430.1
2;2;1;2023-04-01;815607.8
2;2;1;2023-07-01;849111.9
2;2;1;2023-10-01;940459.8
2;2;1;2024-01-01;835773.1
2;2;1;2024-04-01;863279.1
2;2;1;2024-07-01;905026.3
2;2;1;2024-10-01;1013359.55068
