DataTypeId;FrequencyId;PresentationTypeId;Date;Value
2;1;1;1995-01-01;346381
2;1;1;1996-01-01;433568
2;1;1;1997-01-01;524339
2;1;1;1998-01-01;609176
2;1;1;1999-01-01;677203
2;1;1;2000-01-01;751669
2;1;1;2001-01-01;785305
2;1;1;2002-01-01;814760
2;1;1;2003-01-01;850001
2;1;1;2004-01-01;937339
2;1;1;2005-01-01;993293
2;1;1;2006-01-01;1073375
2;1;1;2007-01-01;1189430
2;1;1;2008-01-01;1290419
2;1;1;2009-01-01;1375644
2;1;1;2010-01-01;1441650
2;1;1;2011-01-01;1563935
2;1;1;2012-01-01;1622242
2;1;1;2013-01-01;1637768
2;1;1;2014-01-01;1710185
2;1;1;2015-01-01;1809564
2;1;1;2016-01-01;1865960
2;1;1;2017-01-01;1996836
2;1;1;2018-01-01;2147587
2;1;1;2019-01-01;2313929
2;1;1;2020-01-01;2362909
2;1;1;2021-01-01;2661518
2;1;1;2022-01-01;3100850
2;1;1;2023-01-01;3401610
