DataTypeId;FrequencyId;PresentationTypeId;Date;Value
2;2;5;1996-01-01;103.4
2;2;5;1996-04-01;105.6
2;2;5;1996-07-01;107.2
2;2;5;1996-10-01;108.1
2;2;5;1997-01-01;106.6
2;2;5;1997-04-01;107
2;2;5;1997-07-01;106.1
2;2;5;1997-10-01;105.9
2;2;5;1998-01-01;106.2
2;2;5;1998-04-01;105.1
2;2;5;1998-07-01;104.6
2;2;5;1998-10-01;103
2;2;5;1999-01-01;102.2
2;2;5;1999-04-01;103.6
2;2;5;1999-07-01;105.6
2;2;5;1999-10-01;106.9
2;2;5;2000-01-01;106.6
2;2;5;2000-04-01;105.8
2;2;5;2000-07-01;103.8
2;2;5;2000-10-01;102.9
2;2;5;2001-01-01;102.4
2;2;5;2001-04-01;101.3
2;2;5;2001-07-01;101
2;2;5;2001-10-01;100.5
2;2;5;2002-01-01;101.2
2;2;5;2002-04-01;101.3
2;2;5;2002-07-01;102.5
2;2;5;2002-10-01;102.6
2;2;5;2003-01-01;101.7
2;2;5;2003-04-01;103.5
2;2;5;2003-07-01;104
2;2;5;2003-10-01;104.6
2;2;5;2004-01-01;107
2;2;5;2004-04-01;105.6
2;2;5;2004-07-01;104.5
2;2;5;2004-10-01;103.5
2;2;5;2005-01-01;101.9
2;2;5;2005-04-01;102.6
2;2;5;2005-07-01;103.9
2;2;5;2005-10-01;104.5
2;2;5;2006-01-01;105.6
2;2;5;2006-04-01;106.3
2;2;5;2006-07-01;106.5
2;2;5;2006-10-01;106.3
2;2;5;2007-01-01;107.4
2;2;5;2007-04-01;106.8
2;2;5;2007-07-01;106.4
2;2;5;2007-10-01;106.5
2;2;5;2008-01-01;105.9
2;2;5;2008-04-01;105.3
2;2;5;2008-07-01;104.1
2;2;5;2008-10-01;102.6
2;2;5;2009-01-01;101.5
2;2;5;2009-04-01;102
2;2;5;2009-07-01;102.8
2;2;5;2009-10-01;104
2;2;5;2010-01-01;101.5
2;2;5;2010-04-01;103.2
2;2;5;2010-07-01;103.7
2;2;5;2010-10-01;104.2
2;2;5;2011-01-01;105
2;2;5;2011-04-01;104.8
2;2;5;2011-07-01;105.2
2;2;5;2011-10-01;106
2;2;5;2012-01-01;103.4
2;2;5;2012-04-01;102.2
2;2;5;2012-07-01;100.9
2;2;5;2012-10-01;100
2;2;5;2013-01-01;99.5
2;2;5;2013-04-01;99.8
2;2;5;2013-07-01;101
2;2;5;2013-10-01;102.2
2;2;5;2014-01-01;103.8
2;2;5;2014-04-01;103.9
2;2;5;2014-07-01;104.2
2;2;5;2014-10-01;103.9
2;2;5;2015-01-01;104.3
2;2;5;2015-04-01;103.8
2;2;5;2015-07-01;104.1
2;2;5;2015-10-01;105.3
2;2;5;2016-01-01;103.3
2;2;5;2016-04-01;103.4
2;2;5;2016-07-01;102.6
2;2;5;2016-10-01;102.8
2;2;5;2017-01-01;105.1
2;2;5;2017-04-01;104.5
2;2;5;2017-07-01;105.7
2;2;5;2017-10-01;105.3
2;2;5;2018-01-01;106.1
2;2;5;2018-04-01;106.4
2;2;5;2018-07-01;106.4
2;2;5;2018-10-01;106.1
2;2;5;2019-01-01;105.3
2;2;5;2019-04-01;105.2
2;2;5;2019-07-01;104.4
2;2;5;2019-10-01;103.6
2;2;5;2020-01-01;102.7
2;2;5;2020-04-01;92.3
2;2;5;2020-07-01;98.9
2;2;5;2020-10-01;98.1
2;2;5;2021-01-01;100.3
2;2;5;2021-04-01;112.2
2;2;5;2021-07-01;106.7
2;2;5;2021-10-01;108.7
2;2;5;2022-01-01;108.9
2;2;5;2022-04-01;106.3
2;2;5;2022-07-01;104.1
2;2;5;2022-10-01;102.5
2;2;5;2023-01-01;99.5
2;2;5;2023-04-01;99.4
2;2;5;2023-07-01;100.5
2;2;5;2023-10-01;101
2;2;5;2024-01-01;102.1
2;2;5;2024-04-01;103.2
2;2;5;2024-07-01;102.7
2;2;5;2024-10-01;103.2
