DataTypeId;FrequencyId;PresentationTypeId;Date;Value
2;1;6;1996-01-01;106.1
2;1;6;1997-01-01;106.4
2;1;6;1998-01-01;104.6
2;1;6;1999-01-01;104.7
2;1;6;2000-01-01;104.7
2;1;6;2001-01-01;101.2
2;1;6;2002-01-01;101.9
2;1;6;2003-01-01;103.5
2;1;6;2004-01-01;105.1
2;1;6;2005-01-01;103.3
2;1;6;2006-01-01;106.2
2;1;6;2007-01-01;106.8
2;1;6;2008-01-01;104.4
2;1;6;2009-01-01;102.6
2;1;6;2010-01-01;103.2
2;1;6;2011-01-01;105.3
2;1;6;2012-01-01;101.5
2;1;6;2013-01-01;100.7
2;1;6;2014-01-01;103.9
2;1;6;2015-01-01;104.4
2;1;6;2016-01-01;103
2;1;6;2017-01-01;105.2
2;1;6;2018-01-01;106.2
2;1;6;2019-01-01;104.6
2;1;6;2020-01-01;98
2;1;6;2021-01-01;106.9
2;1;6;2022-01-01;105.3
2;1;6;2023-01-01;100.1
